Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Confusion_Matrix
WebshellDetector,0.9812206572769953,0.9701492537313433,0.9701492537313433,0.9701492537313433,0.9940707421795134,"[[144, 2], [2, 65]]"
TextCNN,0.9859154929577465,0.9571428571428572,1.0,0.9781021897810219,0.9986710284195461,"[[143, 3], [0, 67]]"
TextRNN,0.9483568075117371,0.9242424242424242,0.9104477611940298,0.9172932330827067,0.9581885095072582,"[[141, 5], [6, 61]]"
TransformerClassifier,0.9859154929577465,0.9848484848484849,0.9701492537313433,0.9774436090225563,0.9996933142506644,"[[145, 1], [2, 65]]"
